date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,1.27,1.58,1.21,1.432,2683100,12.7,15.8,12.1,14.32,268310
2011-03-31,1.36,1.48,1.18,1.27,3686200,13.6,14.8,11.8,12.7,368620
2011-04-29,1.27,1.31,1.0,1.07,3245000,12.7,13.1,10.0,10.7,324500
2011-05-31,1.1,1.1,0.8114,0.98,3417200,11.0,11.0,8.114,9.8,341720
2011-06-30,0.95,0.9785,0.712,0.84,1895300,9.5,9.785,7.12,8.4,189530
2011-07-29,0.83,0.983,0.78,0.83,1119300,8.3,9.83,7.8,8.3,111930
2011-08-31,0.83,0.915,0.6,0.81,1197300,8.3,9.15,6.0,8.1,119730
2011-09-30,0.78,0.905,0.6801,0.74,541600,7.8,9.05,6.801,7.4,54160
2011-10-31,0.71,0.95,0.7,0.85,525900,7.1,9.5,7.0,8.5,52590
2011-11-30,0.85,0.92,0.67,0.73,303600,8.5,9.2,6.7,7.3,30360
2011-12-30,0.72,0.75,0.6235,0.688,881500,7.2,7.5,6.235,6.88,88150
2012-01-31,0.68,0.79,0.63,0.7,458100,6.8,7.9,6.3,7.0,45810
2012-02-29,0.69,0.8436,0.69,0.79,812100,6.9,8.436,6.9,7.9,81210
2012-03-30,0.77,0.97,0.74,0.93,1429700,7.7,9.7,7.4,9.3,142970
2012-04-30,0.93,0.95,0.8023,0.8978,1215700,9.3,9.5,8.023,8.978,121570
2012-05-31,0.9,0.9,0.66,0.7,1374900,9.0,9.0,6.6,7.0,137490
2012-06-29,0.6805,0.73,0.4915,0.63,746000,6.805,7.3,4.915,6.3,74600
2012-07-31,0.6299,0.6372,0.54,0.56,495600,6.299,6.372,5.4,5.6,49560
2012-08-31,0.56,0.56,0.4,0.478,1278500,5.6,5.6,4.0,4.78,127850
2012-09-28,0.42,0.47,0.35,0.38,694300,4.2,4.7,3.5,3.8,69430
2012-10-31,0.3718,0.6,0.3718,0.46,1623300,3.718,6.0,3.718,4.6,162330
2012-11-30,0.48,0.49,0.38,0.41,806400,4.8,4.9,3.8,4.1,80640
2012-12-31,0.4,0.41,0.321,0.37,1972700,4.0,4.1,3.21,3.7,197270
2013-01-31,0.35,0.5,0.35,0.45,3200800,3.5,5.0,3.5,4.5,320080
2013-02-28,0.489,0.73,0.46,0.6,4284000,4.89,7.3,4.6,6.0,428400
2013-03-29,0.6,0.6701,0.526,0.62,2020000,6.0,6.701,5.26,6.2,202000
2013-04-30,0.62,0.74,0.515,0.615,3508000,6.2,7.4,5.15,6.15,350800
2013-05-31,0.62,0.67,0.449,0.47,3207100,6.2,6.7,4.49,4.7,320710
2013-06-28,0.478,0.86,0.478,0.8199,3743100,4.78,8.6,4.78,8.199,374310
2013-07-31,0.8103,0.88,0.65,0.7786,2135100,8.103,8.8,6.5,7.786,213510
2013-08-30,0.7898,1.03,0.68,0.9101,5155900,7.898,10.3,6.8,9.101,515590
2013-09-30,0.95,1.14,0.8228,0.89,6040600,9.5,11.4,8.228,8.9,604060
2013-10-31,0.89,0.97,0.7701,0.8,3119800,8.9,9.7,7.701,8.0,311980
2013-11-29,0.83,1.15,0.755,1.12,5157500,8.3,11.5,7.55,11.2,515750
2013-12-31,1.19,1.79,0.94,1.64,34272600,11.9,17.9,9.4,16.4,3427260
2014-01-31,1.64,1.95,1.29,1.54,29416400,16.4,19.5,12.9,15.4,2941640
2014-02-28,1.51,1.67,1.35,1.49,15629100,15.1,16.7,13.5,14.9,1562910
2014-03-31,1.49,1.85,1.45,1.6,24874100,14.9,18.5,14.5,16.0,2487410
2014-04-30,1.56,1.619,1.3,1.38,9460000,15.6,16.19,13.0,13.8,946000
2014-05-30,1.38,1.74,1.28,1.59,12174700,13.8,17.4,12.8,15.9,1217470
2014-06-30,1.62,1.87,1.42,1.76,12378000,16.2,18.7,14.2,17.6,1237800
2014-07-31,1.8,1.87,1.45,1.48,8311700,18.0,18.7,14.5,14.8,831170
2014-08-29,1.48,1.67,1.46,1.62,5973500,14.8,16.7,14.6,16.2,597350
2014-09-30,1.64,1.9,1.5,1.715,8836024,16.4,19.0,15.0,17.15,883599
2014-10-31,1.72,1.74,1.5,1.56,9656266,17.2,17.4,15.0,15.6,965615
2014-11-28,1.56,1.6,1.36,1.52,6190916,15.6,16.0,13.6,15.2,619082
